id,location.city.name,location.city.normalized_name,location.district.name,location.region.name,location.region.normalized_name,title,price,currency,floor_select,furniture,builttype,m,rooms,rent
763651526,Mielec,mielec,,Podkarpackie,podkarpackie,"Nowe mieszkanie 44m, 2 pokojowe z balkonem Warneńczyka 3a Mielec",1700.0,PLN,2,yes,blok,44,two,550
688711030,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Mieszkanie w centrum Rzeszowa,950.0,PLN,4,yes,blok,33,one,498
535755313,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,"47m ul.Kwiatkowskiego, 2-pokojowe umeblowane",1700.0,PLN,4,yes,blok,44,two,0.01
657768045,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Do wynajęcia małe i przytulne mieszkanie w centrum,800.0,PLN,3,yes,blok,20,one,750
761044457,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,3 pokoje ścisłe centrum obok Rynku,2400.0,PLN,Parter,yes,kamienica,53,three,310
761024633,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Wynajmę mieszkanie,2000.0,PLN,Powyżej 10,yes,blok,56,three,580
763617564,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Wynajmę mieszkanie,1500.0,PLN,2,yes,blok,52,two,1
749415099,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Okazja - kawalerka +pokój |26 m2| ul. Bałtycka 35|Rzeszów,1650.0,PLN,2,yes,apartamentowiec,33,two,1
714220564,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Mieszkanie 2 pokoje na poddaszu 45 m2 Rzeszów Zalesie OD 1/07,1350.0,PLN,1,yes,szeregowiec,45,two,480
763604909,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Przytulne M3 ul.Langiewicza,1100.0,PLN,3,no,blok,40,two,1900
746601101,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Mieszkanie 2 pokoje 38m2 ul Niecia Staromieście+ miejsce post. w gar.,1600.0,PLN,9,yes,blok,38,two,270
693294474,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,mieszkanie w centrum Rzeszowa,1900.0,PLN,Parter,yes,blok,54,three,80
761895883,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,"Nowoczesne Piękne Mieszkanie , Balkon, Komórka lokatorska",1600.0,PLN,2,yes,blok,33,one,500
674425936,Matysówka,matysowka,,Podkarpackie,podkarpackie,Mieszkanie do wynajęcia,1600.0,PLN,3,yes,pozostale,42,two,250
760979672,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Mieszkanie 3 pokoje do wynajęcia osiedle 1000 lecia. Bezpośrednio!!!,2000.0,PLN,9,yes,blok,54,three,500
646422846,Ropczyce,ropczyce,,Podkarpackie,podkarpackie,"Wynajmę 2 pokojowe mieszkanie na Osiedlu Barbary"" w Ropczycach",950.0,PLN,2,yes,blok,64,two,570
763577331,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Mieszkanie na wynajem Baltycka 35 3 pokoje,2100.0,PLN,1,yes,apartamentowiec,55,three,390
763566436,Stalowa Wola,stalowa-wola,,Podkarpackie,podkarpackie,Wynajmę mieszkanie w Stalowej Woli,1450.0,PLN,5,yes,blok,46,two,600
757431913,Mielec,mielec,,Podkarpackie,podkarpackie,Kawalerka w Centrum-32m-I piętro-balkon-umeblowana!,1200.0,PLN,2,yes,blok,32.54,one,30
763540415,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,M2 bardzo dobry standard!| blok z widną | NOWE BUDOWNICTWO,1700.0,PLN,1,yes,blok,46,two,100
626304431,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,"Mieszkanie do wynajęcia - 3 pokoje Wieniawskiego, Rzeszów",2200.0,PLN,1,yes,blok,54,three,2000
728995056,Przemyśl,przemysl,,Podkarpackie,podkarpackie,"Wynajme mieszkanie 3 pokojowe,słoneczne",3500.0,PLN,1,yes,blok,50,three,1
763510121,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Mieszkanie 57m2 3 pokoje Twardowskiego,2000.0,PLN,2,yes,blok,57,three,650
765647138,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,"48 m2 komfortowe, nowoczesne mieszkanie na osiedlu Zalesie,",1750.0,PLN,4,yes,blok,48,two,360
740746245,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Mieszkanie do wynajęcia,1000.0,PLN,4,yes,blok,53,two,350
690043903,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Mieszkanie w centrum,1300.0,PLN,Parter,yes,blok,30,two,490
760988679,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,mieszkanie do wynajęcia z wyposażeniem,1500.0,PLN,1,yes,blok,30,two,0.01
666624038,Tarnobrzeg,tarnobrzeg,,Podkarpackie,podkarpackie,"Wynajmę mieszkanie w Tarnobrzegu , osiedle Przywiśle -400m od Wisły",1050.0,PLN,1,yes,blok,42.2,two,1
705026963,Krosno,krosno,,Podkarpackie,podkarpackie,90 m2 / 3 duże pokoje / Krosno super lokalizacja,1950.0,PLN,Parter,yes,kamienica,90,three,420
760888213,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Wynajmę mieszkanie w Rzeszowie przy ul. K. W.  Iraneki-Osmeckiego,1800.0,PLN,1,yes,blok,69,three,300
763487065,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,"Skyres ul.Lubelska,Warszawska#2 pokojowe#0%prowizji",1650.0,PLN,2,yes,apartamentowiec,39,two,1
708404237,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Wynajmę nowe mieszkanie/kawalerkę rzeszów ul Witolda,1000.0,PLN,2,yes,szeregowiec,17,one,320
763477844,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Mieszkanie w centrum Rzeszowa,2400.0,PLN,,yes,kamienica,74,three,
763470415,Stalowa Wola,stalowa-wola,,Podkarpackie,podkarpackie,Do wynajęcia mieszkanie ul.Wolności,1700.0,PLN,,yes,blok,50,two,
737979617,Zarzecze,zarzecze_99685,,Podkarpackie,podkarpackie,Mieszkanie NOWE 65m2 Zarzecze bezczynszowe,1300.0,PLN,1,yes,pozostale,65,two,10
764093484,Mielec,mielec,,Podkarpackie,podkarpackie,Wynajmę mieszkanie 3 pokojowe świeżo po remoncie,1800.0,PLN,3,yes,blok,48,three,670
765893718,Dębica,debica,,Podkarpackie,podkarpackie,wynajmę mieszkanie,1250.0,PLN,2,yes,blok,38,two,285
763457718,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,wynajmę mieszkanie,1400.0,PLN,1,yes,kamienica,30,one,1400
763454092,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Nowe Piękne   Dwupokojowe Mieszkanie,1800.0,PLN,7,yes,blok,37,two,270
757296486,Stalowa Wola,stalowa-wola,,Podkarpackie,podkarpackie,"Mieszkanie do wynajęcia, 64 m2, trzy pokoje, przy ul. Wyszyńskiego",1700.0,PLN,Parter,yes,blok,64,three,530
763446715,Mielec,mielec,,Podkarpackie,podkarpackie,Wynajmę mieszkanie dwupokojowe w Mielcu,1100.0,PLN,3,yes,blok,46,two,400
763435013,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,"42m2 , Krakowska 2-pokojowe umeblowane",1500.0,PLN,3,yes,blok,42,two,462
757658992,Łańcut,lancut,,Podkarpackie,podkarpackie,"Apartament ""Ach To Tu!""",220.0,PLN,2,yes,blok,31,two,220
718665358,Stalowa Wola,stalowa-wola,,Podkarpackie,podkarpackie,Wynajmę mieszkanie 2 pokojowe,1500.0,PLN,4,yes,blok,35,two,380
763418150,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Wynajmie Kawalerka w centrum Rzeszowa ul. Zygmuntowska .,1300.0,PLN,2,yes,blok,22,one,1300
763417374,Mielec,mielec,,Podkarpackie,podkarpackie,"Do wynajęcia mieszkanie 3 pokojowe,  osiedle Lotników",1200.0,PLN,1,yes,blok,50,three,450
